,ddtime,dutime,ftime,key,kftime,time,uutime
318,107.0,187.0,16.0,79,96,80,96.0
319,100.0,199.0,20.0,87,119,99,119.0
320,131.0,211.0,32.0,32,112,80,112.0
321,161.0,216.0,81.0,79,136,55,136.0
322,129.0,200.0,74.0,78,145,71,145.0
323,127.0,218.0,56.0,32,147,91,147.0
324,20.0,99.0,0.0,84,79,79,8.0
325,172.0,247.0,93.0,82,168,75,168.0
326,131.0,214.0,56.0,69,139,83,139.0
327,172.0,231.0,89.0,69,148,59,148.0
328,194.0,337.0,135.0,83,278,143,278.0
329,1202.0,1293.0,86.4251207729,87,91,91,1150.0
330,182.0,273.0,91.0,72,182,91,182.0
331,80.0,135.0,0.0,65,55,55,44.0
332,121.0,208.0,66.0,84,153,87,153.0
333,92.0,175.0,5.0,32,88,83,88.0
334,219.0,298.0,136.0,73,215,79,215.0
335,43.0,135.0,0.0,70,92,92,56.0
336,133.0,232.0,41.0,32,140,99,140.0
337,448.0,523.0,349.0,71,424,75,424.0
338,174.0,241.0,99.0,65,166,67,166.0
339,93.0,184.0,26.0,78,117,91,117.0
340,96.0,211.0,5.0,68,120,115,120.0
341,131.0,207.0,16.0,72,92,76,92.0
342,180.0,243.0,104.0,73,167,63,167.0
343,175.0,250.0,112.0,32,187,75,187.0
344,56.0,131.0,0.0,87,75,75,56.0
345,115.0,298.0,40.0,65,223,183,223.0
346,76.0,215.0,0.0,83,139,139,32.0
347,76.0,160.0,0.0,32,84,84,21.0
348,380.0,476.0,296.0,66,392,96,392.0
349,84.0,171.0,0.0,65,87,87,75.0
350,155.0,233.0,68.0,76,146,78,146.0
351,56.0,163.0,0.0,68,107,107,85.0
352,205.0,348.0,98.0,191,241,143,241.0
353,2208.0,2311.0,86.4251207729,77,103,103,2168.0
354,143.0,219.0,40.0,89,116,76,116.0
355,142.0,219.0,66.0,32,143,77,143.0
356,162.0,241.0,85.0,77,164,79,164.0
357,164.0,239.0,85.0,79,160,75,160.0
358,813.0,867.0,738.0,77,792,54,792.0
359,432.0,511.0,378.0,8,457,79,457.0
360,118.0,200.0,39.0,84,121,82,121.0
361,127.0,210.0,45.0,72,128,83,128.0
362,100.0,226.0,17.0,69,143,126,143.0
363,36.0,162.0,0.0,82,126,126,36.0
364,154.0,225.0,28.0,32,99,71,99.0
365,177.0,263.0,106.0,73,192,86,192.0
366,103.0,223.0,17.0,83,137,120,137.0
367,109.0,187.0,0.0,32,78,78,67.0
368,97.0,246.0,19.0,65,168,149,168.0
369,115.0,201.0,0.0,32,86,86,52.0
370,470.0,567.0,384.0,80,481,97,481.0
371,84.0,203.0,0.0,69,119,119,106.0
372,56.0,159.0,0.0,82,103,103,40.0
373,176.0,315.0,73.0,83,212,139,212.0
374,80.0,167.0,0.0,79,87,87,28.0
375,147.0,242.0,60.0,78,155,95,155.0
376,98410.0,98497.0,86.4251207729,69,87,87,98402.0
377,146.0,225.0,59.0,65,138,79,138.0
378,170.0,277.0,91.0,84,198,107,198.0
379,113.0,190.0,6.0,73,83,77,83.0
380,172.0,250.0,95.0,78,173,78,173.0
381,98.0,197.0,20.0,71,119,99,119.0
382,77.0,156.0,0.0,32,79,79,57.0
383,725.0,827.0,646.0,75,748,102,748.0
384,100.0,151.0,0.0,69,51,51,49.0
385,148.0,211.0,97.0,84,160,63,160.0
386,231.0,353.0,168.0,67,290,122,290.0
387,44.0,136.0,0.0,72,92,92,14.0
388,169.0,245.0,77.0,85,153,76,153.0
389,187.0,263.0,111.0,80,187,76,187.0
390,195.0,270.0,119.0,32,194,75,194.0
391,293.0,376.0,218.0,79,301,83,301.0
392,165.0,225.0,82.0,78,142,60,142.0
393,118.0,178.0,58.0,32,118,60,118.0
394,157.0,221.0,97.0,72,161,64,161.0
395,163.0,252.0,99.0,79,188,89,188.0
396,109.0,172.0,20.0,84,83,63,83.0
397,112.0,187.0,49.0,32,124,75,124.0
398,126.0,236.0,51.0,68,161,110,161.0
399,119.0,182.0,9.0,79,72,63,72.0
400,118.0,181.0,55.0,71,118,63,118.0
401,152.0,279.0,89.0,83,216,127,216.0
402,80.0,166.0,0.0,32,86,86,39.0
403,185.0,279.0,99.0,73,193,94,193.0
404,109.0,179.0,15.0,83,85,70,85.0
405,98.0,169.0,28.0,32,99,71,99.0
406,88.0,167.0,17.0,65,96,79,96.0
407,96.0,163.0,17.0,32,84,67,84.0
408,129.0,228.0,62.0,83,161,99,161.0
409,120.0,195.0,21.0,73,96,75,96.0
410,156.0,216.0,81.0,78,141,60,141.0
411,118.0,189.0,58.0,32,129,71,129.0
412,112.0,219.0,41.0,65,148,107,148.0
413,128.0,201.0,21.0,78,94,73,94.0
414,96.0,177.0,23.0,68,104,81,104.0
415,78.0,145.0,0.0,32,67,67,64.0
416,96.0,209.0,29.0,83,142,113,142.0
417,122.0,197.0,9.0,79,84,75,84.0
418,186.0,281.0,111.0,32,206,95,206.0
419,320.0,420.0,225.0,73,325,100,325.0
420,101.0,191.0,1.0,83,91,90,91.0
421,120.0,210.0,30.0,32,120,90,120.0
422,212.0,275.0,122.0,80,185,63,185.0
423,128.0,231.0,65.0,73,168,103,168.0
424,280.0,363.0,177.0,78,260,83,260.0
425,148.0,232.0,65.0,69,149,84,149.0
426,174.0,261.0,90.0,65,177,87,177.0
427,238.0,285.0,151.0,80,198,47,198.0
428,113.0,168.0,66.0,80,121,55,121.0
429,135.0,214.0,80.0,76,159,79,159.0
430,98.0,171.0,19.0,69,92,73,92.0
431,146.0,213.0,73.0,32,140,67,140.0
432,172.0,227.0,105.0,79,160,55,160.0
433,129.0,192.0,74.0,78,137,63,137.0
434,122.0,176.0,59.0,32,113,54,113.0
435,188.0,255.0,134.0,80,201,67,201.0
436,152.0,239.0,85.0,73,172,87,172.0
437,111.0,143.0,24.0,90,56,32,56.0
438,99.0,162.0,67.0,90,130,63,130.0
439,3316.0,3408.0,86.4251207729,70,92,92,3345.0
440,147.0,210.0,55.0,79,118,63,118.0
441,128.0,188.0,65.0,79,125,60,125.0
442,77.0,164.0,17.0,68,104,87,104.0
443,121.0,235.0,34.0,32,148,114,148.0
444,469.0,541.0,355.0,73,427,72,427.0
445,89.0,180.0,17.0,83,108,91,108.0
446,122.0,161.0,31.0,32,70,39,70.0
447,328.0,427.0,289.0,83,388,99,388.0
448,116.0,195.0,17.0,79,96,79,96.0
449,155.0,246.0,76.0,77,167,91,167.0
450,49.0,115.0,0.0,69,66,66,24.0
451,148.0,247.0,82.0,84,181,99,181.0
452,77.0,144.0,0.0,72,67,67,45.0
453,143.0,218.0,76.0,73,151,75,151.0
454,152.0,239.0,77.0,78,164,87,164.0
455,106.0,195.0,19.0,71,108,89,108.0
456,54.0,161.0,0.0,32,107,107,72.0
457,457.0,544.0,350.0,73,437,87,437.0
458,254.0,321.0,167.0,32,234,67,234.0
459,40.0,140.0,0.0,87,100,100,73.0
460,100.0,198.0,0.0,65,98,98,98.0
461,79.0,166.0,0.0,78,87,87,68.0
462,137.0,208.0,50.0,84,121,71,121.0
463,48.0,119.0,0.0,32,71,71,48.0
464,106.0,199.0,35.0,84,128,93,128.0
465,92.0,167.0,0.0,79,75,75,74.0
466,176.0,253.0,101.0,32,178,77,178.0
467,76.0,187.0,0.0,69,111,111,110.0
468,157.0,268.0,46.0,65,157,111,157.0
469,158.0,269.0,47.0,84,158,111,158.0
470,1277.0,1392.0,86.4251207729,65,115,115,1281.0
471,270.0,337.0,155.0,80,222,67,222.0
472,126.0,205.0,59.0,80,138,79,138.0
473,145.0,240.0,66.0,76,161,95,161.0
474,88.0,143.0,0.0,69,55,55,48.0
475,146.0,221.0,91.0,83,166,75,166.0
476,93.0,161.0,18.0,32,86,68,86.0
477,78.0,164.0,10.0,65,96,86,96.0
478,129.0,232.0,43.0,82,146,103,146.0
479,84.0,150.0,0.0,69,66,66,47.0
480,44.0,103.0,0.0,32,59,59,37.0
481,136.0,247.0,77.0,82,188,111,188.0
482,156.0,223.0,45.0,69,112,67,112.0
483,151.0,270.0,84.0,68,203,119,203.0
484,136.0,198.0,17.0,32,79,62,79.0
485,263.0,322.0,201.0,8,260,59,260.0
486,209.0,276.0,150.0,188,217,67,217.0
487,137.0,217.0,70.0,32,150,80,150.0
488,216.0,271.0,136.0,79,191,55,191.0
489,60.0,135.0,5.0,82,80,75,80.0
490,450.0,549.0,375.0,65,474,99,474.0
491,148.0,239.0,49.0,78,140,91,140.0
492,102.0,163.0,11.0,71,72,61,72.0
493,77.0,145.0,16.0,69,84,68,84.0
494,156.0,255.0,88.0,83,187,99,187.0
495,100.0,179.0,1.0,32,80,79,80.0
496,88.0,194.0,9.0,65,115,106,115.0
497,126.0,232.0,20.0,82,126,106,126.0
498,105.0,199.0,0.0,69,94,94,93.0
499,41.0,139.0,0.0,32,98,98,45.0
500,467.0,565.0,369.0,79,467,98,467.0
501,112.0,190.0,14.0,82,92,78,92.0
502,133.0,236.0,55.0,65,158,103,158.0
503,199.0,281.0,96.0,78,178,82,178.0
504,104.0,186.0,22.0,71,104,82,104.0
505,75.0,197.0,0.0,69,122,122,115.0
506,132.0,231.0,10.0,188,109,99,109.0
507,177.0,256.0,78.0,32,157,79,157.0
508,734.0,821.0,655.0,80,742,87,742.0
509,221.0,312.0,134.0,85,225,91,225.0
510,106.0,179.0,15.0,82,88,73,88.0
511,157.0,208.0,84.0,80,135,51,135.0
512,146.0,228.0,95.0,76,177,82,177.0
513,126.0,229.0,44.0,69,147,103,147.0
514,125.0,207.0,22.0,32,104,82,104.0
515,177.0,252.0,95.0,73,170,75,170.0
516,60.0,156.0,0.0,83,96,96,81.0
517,118.0,204.0,22.0,32,108,86,108.0
518,82.0,180.0,0.0,65,98,98,94.0
519,324.0,398.0,226.0,32,300,74,300.0
520,121.0,205.0,47.0,67,131,84,131.0
521,89.0,172.0,5.0,79,88,83,88.0
522,111.0,211.0,28.0,76,128,100,128.0
523,152.0,242.0,52.0,79,142,90,142.0
524,80.0,162.0,0.0,82,82,82,72.0
525,2901.0,2964.0,86.4251207729,70,63,63,2882.0
526,356.0,474.0,293.0,69,411,118,411.0
527,103.0,222.0,0.0,87,119,119,104.0
528,136.0,211.0,17.0,32,92,75,92.0
529,180.0,262.0,105.0,77,187,82,187.0
530,81.0,167.0,0.0,69,86,86,85.0
531,83.0,162.0,0.0,78,79,79,76.0
532,141.0,217.0,62.0,32,138,76,138.0
533,116.0,195.0,40.0,65,119,79,119.0
534,129.0,219.0,50.0,82,140,90,140.0
535,89.0,153.0,0.0,69,64,64,63.0
536,43.0,118.0,0.0,32,75,75,54.0
537,164.0,419.0,89.0,65,344,255,344.0
538,164.0,283.0,0.0,32,119,119,28.0
539,104.0,147.0,0.0,83,43,43,28.0
540,365.0,408.0,322.0,8,365,43,365.0
541,98.0,165.0,55.0,8,122,67,122.0
542,88.0,186.0,21.0,83,119,98,119.0
543,130.0,221.0,32.0,32,123,91,123.0
544,167.0,266.0,76.0,67,175,99,175.0
545,157.0,256.0,58.0,72,157,99,157.0
546,128.0,224.0,29.0,65,125,96,125.0
547,121.0,220.0,25.0,82,124,99,124.0
548,114.0,203.0,15.0,77,104,89,104.0
549,203.0,266.0,114.0,73,177,63,177.0
550,147.0,218.0,84.0,78,155,71,155.0
551,85.0,156.0,14.0,71,85,71,85.0
552,67.0,154.0,0.0,32,87,87,83.0
553,132.0,287.0,45.0,65,200,155,200.0
554,88.0,203.0,0.0,83,115,115,48.0
555,84.0,171.0,0.0,32,87,87,56.0
556,481.0,616.0,394.0,83,529,135,529.0
557,225.0,312.0,90.0,85,177,87,177.0
558,184.0,255.0,97.0,66,168,71,168.0
559,133.0,216.0,62.0,72,145,83,145.0
560,102.0,175.0,19.0,65,92,73,92.0
561,261.0,371.0,188.0,83,298,110,298.0
562,167.0,230.0,57.0,72,120,63,120.0
563,142.0,217.0,79.0,32,154,75,154.0
564,332.0,431.0,257.0,67,356,99,356.0
565,155.0,243.0,56.0,72,144,88,144.0
566,84.0,175.0,0.0,65,91,91,87.0
567,115.0,199.0,24.0,78,108,84,108.0
568,113.0,187.0,29.0,68,103,74,103.0
569,172.0,227.0,98.0,82,153,55,153.0
570,115.0,217.0,60.0,65,162,102,162.0
571,80.0,163.0,0.0,32,83,83,61.0
572,328.0,411.0,245.0,66,328,83,328.0
573,146.0,241.0,63.0,79,158,95,158.0
574,96.0,178.0,1.0,83,83,82,83.0
575,150.0,241.0,68.0,69,159,91,159.0
576,30600.0,30699.0,86.4251207729,74,99,99,30608.0
577,246.0,309.0,147.0,69,210,63,210.0
578,152.0,255.0,89.0,83,192,103,192.0
579,146.0,255.0,43.0,85,152,109,152.0
580,94.0,181.0,0.0,83,87,87,72.0
581,133.0,212.0,46.0,32,125,79,125.0
582,190.0,261.0,111.0,73,182,71,182.0
583,91.0,196.0,20.0,83,125,105,125.0
584,118.0,201.0,13.0,32,96,83,96.0
585,213.0,316.0,130.0,77,233,103,233.0
586,217.0,288.0,114.0,89,185,71,185.0
587,96.0,176.0,25.0,32,105,80,105.0
588,209.0,351.0,129.0,83,271,142,271.0
589,136.0,231.0,0.0,65,95,95,89.0
590,163.0,266.0,68.0,86,171,103,171.0
591,137.0,195.0,34.0,73,92,58,92.0
592,129.0,212.0,71.0,79,154,83,154.0
593,96.0,175.0,13.0,82,92,79,92.0
594,140.0,221.0,61.0,32,142,81,142.0
595,236.0,313.0,155.0,84,232,77,232.0
596,76.0,123.0,0.0,79,47,47,46.0
597,100.0,171.0,53.0,79,124,71,124.0
598,2491.0,2602.0,86.4251207729,73,111,111,2531.0
599,298.0,381.0,187.0,32,270,83,270.0
600,333.0,411.0,250.0,68,328,78,328.0
601,71.0,143.0,0.0,79,72,72,65.0
602,155.0,230.0,83.0,78,158,75,158.0
603,216.0,308.0,141.0,222,233,92,233.0
604,120.0,199.0,28.0,84,107,79,107.0
605,103.0,186.0,24.0,32,107,83,107.0
606,201.0,260.0,118.0,76,177,59,177.0
607,125.0,187.0,66.0,73,128,62,128.0
608,127.0,204.0,65.0,75,142,77,142.0
609,76.0,175.0,0.0,69,99,99,98.0
610,110.0,211.0,11.0,32,112,101,112.0
611,1142.0,1258.0,1041.0,77,1157,116,1157.0
612,88.0,171.0,0.0,69,83,83,55.0
613,131.0,198.0,48.0,65,115,67,115.0
614,128.0,207.0,61.0,84,140,79,140.0
615,586.0,621.0,86.4251207729,73,35,35,542.0
616,388.0,474.0,353.0,32,439,86,439.0
617,316.0,416.0,230.0,68,330,100,330.0
618,101.0,156.0,1.0,79,56,55,56.0
619,697.0,759.0,642.0,78,704,62,704.0
620,297.0,324.0,235.0,222,262,27,262.0
621,85.0,148.0,58.0,84,121,63,121.0
622,92.0,157.0,29.0,32,94,65,94.0
623,185.0,256.0,120.0,76,191,71,191.0
624,136.0,202.0,65.0,73,131,66,131.0
625,105.0,178.0,39.0,75,112,73,112.0
626,72.0,167.0,0.0,69,95,95,94.0
627,108.0,191.0,13.0,32,96,83,96.0
628,117.0,204.0,34.0,86,121,87,121.0
629,153.0,256.0,66.0,69,169,103,169.0
630,378.0,449.0,275.0,71,346,71,346.0
631,378.0,465.0,307.0,69,394,87,394.0
632,163.0,226.0,76.0,84,139,63,139.0
633,143.0,270.0,80.0,65,207,127,207.0
634,139.0,203.0,12.0,66,76,64,76.0
635,244.0,370.0,180.0,76,306,126,306.0
636,125.0,191.0,0.0,69,66,66,65.0
